Image_ID,Timestamp,Genotype_ID,Plant_ID,Crop_Type,Region,Soil_Type,Soil_Moisture,Temperature,Humidity,Light_Intensity,Fertilizer_Used,Irrigation_Level,Leaf_Area,Stem_Thickness,Plant_Height,Leaf_Color_Index,Disease_Signs,Weed_Presence,Growth_Stage,Health_Score,Genotype_Performance_Score,Recommended_Action,Yield_Potential
IMG_000013,2021-12-16,G010,P000013,Soybean,Central,Loamy,25.09,22.9,59.7,33061.8,NPK,8.0,110.0,1.83,72.8,3.5,No,No,Fruiting,91.1,84.2,Apply pesticide,7.84
IMG_000014,2021-02-21,G002,P000014,Soybean,South,Silty,29.51,24.7,68.8,38512.7,NPK,7.5,163.5,2.31,123.3,2.7,No,No,Fruiting,80.8,70.7,Increase irrigation,4.6
IMG_000015,2021-12-19,G006,P000015,Rice,Central,Silty,32.82,25.0,51.4,43061.3,DAP,9.2,40.2,1.56,101.5,4.1,No,No,Vegetative,77.1,38.6,Apply pesticide,7.17
IMG_000016,2021-04-12,G007,P000016,Maize,East,Clay,17.8,32.5,72.6,28619.3,None,3.6,61.5,1.97,43.6,2.6,No,No,Vegetative,87.2,77.7,No action,8.34
IMG_000017,2021-08-11,G003,P000017,Soybean,South,Clay,32.11,22.5,72.1,19147.0,Urea,11.5,160.0,2.14,79.2,3.4,No,Yes,Vegetative,74.4,78.9,Increase irrigation,8.53
IMG_000018,2021-01-21,G007,P000018,Maize,Central,Sandy,34.5,24.3,62.5,26515.3,DAP,7.9,94.5,1.51,32.9,2.7,No,No,Flowering,67.0,86.6,Weed control,3.61
IMG_000019,2021-03-22,G001,P000019,Soybean,Central,Silty,19.23,18.9,68.4,31342.3,NPK,3.4,94.1,1.35,38.5,2.8,No,No,Vegetative,80.1,37.7,Increase irrigation,4.19
IMG_000020,2022-01-01,G019,P000020,Soybean,North,Loamy,18.95,23.3,40.4,23724.8,NPK,3.5,161.6,1.99,40.7,4.3,No,No,Germination,93.3,49.8,No action,7.17
IMG_000021,2021-06-28,G006,P000021,Rice,Central,Clay,31.0,25.9,51.2,25982.5,Urea,11.5,102.9,0.87,30.7,2.1,No,No,Flowering,93.4,35.4,Add fertilizer,8.42
IMG_000022,2021-03-02,G008,P000022,Rice,West,Sandy,32.04,18.7,61.2,15103.5,DAP,4.9,121.8,1.07,122.1,3.7,No,No,Vegetative,88.0,38.1,Apply pesticide,6.84
IMG_000023,2021-02-09,G010,P000023,Maize,South,Clay,31.94,25.4,43.7,19690.9,Urea,11.2,133.7,2.19,92.8,2.9,No,No,Vegetative,71.3,40.8,Weed control,6.7
IMG_000024,2021-12-30,G004,P000024,Soybean,West,Loamy,34.64,21.2,54.4,16287.9,DAP,4.5,53.4,2.61,124.2,2.4,No,No,Fruiting,91.6,51.7,No action,6.73
IMG_000025,2021-12-05,G017,P000025,Soybean,South,Loamy,15.7,30.6,69.2,41772.8,Compost,4.7,111.5,2.12,127.9,4.7,No,No,Flowering,94.9,85.2,Weed control,8.56
IMG_000026,2021-06-17,G011,P000026,Soybean,East,Loamy,32.69,21.1,52.4,42242.7,Urea,7.2,119.6,1.72,32.8,4.0,No,No,Vegetative,81.3,92.4,Add fertilizer,6.14
IMG_000027,2021-06-20,G014,P000027,Rice,South,Clay,15.46,29.5,50.2,18662.7,Compost,7.0,132.7,1.01,97.9,2.4,No,No,Maturity,77.1,34.7,Weed control,7.9
IMG_000028,2021-02-27,G020,P000028,Maize,Central,Loamy,22.35,18.6,42.2,27259.3,DAP,11.4,66.0,1.85,27.3,4.3,No,No,Vegetative,81.1,75.3,Weed control,5.98
IMG_000029,2021-09-16,G002,P000029,Maize,South,Loamy,27.07,32.0,46.6,33884.2,NPK,6.3,108.3,1.94,48.0,4.7,No,No,Fruiting,69.7,88.9,Increase irrigation,4.54
IMG_000030,2021-07-17,G006,P000030,Rice,North,Clay,28.84,26.5,45.8,17169.8,NPK,10.2,67.4,2.14,26.1,4.8,No,No,Maturity,76.7,81.3,Weed control,7.67
IMG_000031,2021-11-12,G017,P000031,Rice,Central,Loamy,27.4,25.3,61.2,24370.7,DAP,7.5,122.5,2.13,25.4,4.5,No,No,Flowering,70.1,42.4,Add fertilizer,8.79
IMG_000032,2021-12-20,G014,P000032,Rice,Central,Silty,26.53,31.0,65.6,28556.4,DAP,11.1,157.4,1.71,67.2,3.5,No,No,Fruiting,80.4,84.6,No action,6.14
IMG_000033,2021-12-01,G010,P000033,Soybean,South,Loamy,34.12,34.1,69.1,31507.3,DAP,3.6,146.6,1.5,55.9,2.2,No,No,Maturity,81.1,62.0,Increase irrigation,3.95
IMG_000034,2021-07-03,G010,P000034,Soybean,Central,Loamy,32.88,28.6,60.8,15149.3,Urea,12.0,91.3,1.66,109.1,4.4,No,Yes,Maturity,80.7,58.0,Apply pesticide,3.84
IMG_000035,2021-05-17,G016,P000035,Rice,East,Clay,27.29,27.8,55.0,39570.1,None,7.1,164.4,1.73,102.4,4.1,No,No,Flowering,65.0,31.7,Weed control,8.59
IMG_000036,2021-04-20,G006,P000036,Rice,South,Loamy,18.77,33.1,72.4,31049.2,Compost,5.1,67.6,2.58,122.1,2.4,No,No,Vegetative,68.6,68.9,Weed control,6.86
IMG_000037,2021-01-28,G011,P000037,Wheat,West,Silty,18.9,31.7,49.5,23438.5,DAP,11.7,50.3,1.17,74.4,2.9,Yes,No,Flowering,72.7,61.9,Weed control,7.31
IMG_000038,2021-03-23,G013,P000038,Rice,North,Clay,22.32,15.9,71.0,35557.5,Urea,12.0,84.2,2.77,76.5,4.1,No,No,Flowering,84.9,83.1,Add fertilizer,7.92
IMG_000039,2021-03-28,G015,P000039,Rice,Central,Sandy,28.2,25.0,69.7,19854.1,Urea,11.8,68.8,2.69,61.4,2.0,No,No,Flowering,77.8,81.3,Apply pesticide,7.99
IMG_000040,2021-11-23,G020,P000040,Maize,North,Loamy,34.21,16.6,73.6,30762.2,None,7.2,105.3,1.04,115.3,3.2,No,No,Fruiting,70.8,38.7,Apply pesticide,3.6
IMG_000041,2021-05-12,G001,P000041,Soybean,West,Loamy,31.91,26.9,44.8,28196.0,NPK,8.2,118.4,1.65,34.7,3.2,No,No,Maturity,67.8,64.0,No action,7.64
IMG_000042,2021-09-03,G006,P000042,Wheat,North,Loamy,18.16,16.5,67.0,42387.7,NPK,11.0,143.5,2.02,63.7,3.1,No,No,Fruiting,76.7,33.6,No action,7.06
IMG_000043,2021-04-25,G012,P000043,Maize,South,Sandy,15.55,34.2,68.4,32407.7,DAP,4.1,148.9,2.19,46.8,4.5,No,No,Flowering,85.4,70.7,Apply pesticide,5.0
IMG_000044,2021-07-10,G008,P000044,Maize,East,Loamy,28.44,21.3,51.7,36037.0,DAP,8.0,136.5,1.34,95.6,3.9,No,No,Fruiting,83.0,92.9,Add fertilizer,7.73
IMG_000045,2021-04-19,G007,P000045,Rice,Central,Sandy,17.87,26.0,40.0,21238.4,NPK,3.2,165.0,2.06,100.4,4.7,Yes,No,Fruiting,59.3,83.9,No action,4.34
IMG_000046,2021-06-24,G009,P000046,Wheat,South,Sandy,32.26,24.0,54.6,38654.1,DAP,6.2,77.9,2.2,84.0,2.4,No,No,Vegetative,86.8,34.5,Weed control,3.1
IMG_000047,2021-10-04,G008,P000047,Wheat,East,Sandy,28.41,33.0,57.9,43806.8,NPK,8.8,104.7,2.45,50.3,2.4,No,No,Vegetative,82.9,56.8,Apply pesticide,5.65
IMG_000048,2021-10-27,G011,P000048,Rice,East,Silty,30.9,23.5,64.0,44137.4,NPK,3.8,115.1,1.79,116.1,3.6,No,No,Germination,79.1,76.7,Add fertilizer,4.4
IMG_000049,2021-09-11,G009,P000049,Rice,North,Clay,32.67,18.0,68.9,32709.3,DAP,11.2,68.3,2.35,95.9,4.6,Yes,No,Maturity,75.1,74.9,Apply pesticide,8.71
IMG_000050,2021-06-11,G001,P000050,Wheat,Central,Clay,34.74,29.2,68.2,35688.9,Urea,3.5,158.3,2.69,71.5,3.1,No,No,Maturity,93.4,68.7,Add fertilizer,6.31
IMG_000051,2021-02-06,G017,P000051,Maize,North,Silty,18.23,16.8,40.1,16152.5,NPK,4.5,66.3,1.91,99.9,3.8,No,No,Flowering,81.6,61.2,Weed control,3.46
IMG_000052,2021-08-07,G008,P000052,Wheat,Central,Loamy,23.12,18.4,68.1,34947.8,DAP,4.0,153.7,2.08,72.8,3.9,No,No,Flowering,85.5,39.9,Add fertilizer,8.29
IMG_000053,2021-03-18,G006,P000053,Soybean,Central,Clay,29.76,21.9,46.3,16031.6,DAP,8.8,69.3,2.54,40.3,3.1,No,No,Maturity,73.0,47.5,Increase irrigation,7.55
IMG_000054,2021-01-10,G012,P000054,Soybean,South,Loamy,21.13,28.0,52.5,35000.0,NPK,4.4,99.0,2.78,81.0,4.0,Yes,No,Flowering,59.4,77.9,Add fertilizer,4.75
IMG_000055,2021-09-17,G011,P000055,Wheat,West,Clay,26.73,24.8,65.6,20420.0,Urea,10.0,73.2,2.32,57.1,3.0,No,No,Vegetative,76.7,53.1,Apply pesticide,4.66
IMG_000056,2021-07-01,G015,P000056,Wheat,West,Silty,32.03,19.4,49.5,37027.1,NPK,9.8,52.4,1.86,65.8,2.5,No,Yes,Maturity,78.1,83.6,No action,7.65
IMG_000057,2021-08-11,G008,P000057,Rice,North,Loamy,34.01,17.9,60.9,20886.6,NPK,6.7,125.3,0.86,35.1,3.7,No,No,Germination,94.7,58.2,Increase irrigation,3.27
IMG_000058,2021-09-22,G004,P000058,Soybean,West,Clay,25.79,20.6,74.0,37477.8,DAP,5.9,109.5,2.61,43.4,2.6,No,No,Vegetative,68.1,57.7,No action,6.7
IMG_000059,2021-12-21,G013,P000059,Maize,South,Sandy,29.97,28.5,74.8,36665.8,NPK,6.3,151.3,2.1,102.0,3.7,No,No,Germination,90.5,67.7,Increase irrigation,6.76
IMG_000060,2021-04-19,G002,P000060,Soybean,Central,Loamy,29.54,21.0,65.8,29091.5,DAP,11.5,95.8,1.48,48.3,3.7,No,Yes,Vegetative,73.8,72.2,Weed control,6.68
IMG_000061,2021-10-19,G003,P000061,Maize,North,Silty,31.22,15.5,77.4,22563.1,Urea,11.2,43.4,2.27,32.7,4.5,No,No,Vegetative,70.9,65.6,Add fertilizer,4.59
IMG_000062,2021-06-23,G008,P000062,Wheat,North,Loamy,16.02,25.4,48.8,18762.3,Urea,6.4,97.6,1.45,90.6,4.0,No,No,Flowering,94.0,31.5,Increase irrigation,4.14
IMG_000063,2021-04-21,G005,P000063,Rice,South,Clay,32.54,24.1,44.2,16441.7,DAP,4.6,93.3,2.1,77.9,3.0,No,No,Vegetative,66.3,35.8,Apply pesticide,5.07
IMG_000064,2021-11-02,G019,P000064,Maize,West,Loamy,17.79,30.2,57.4,43140.1,Compost,11.7,54.3,1.48,127.5,2.6,No,Yes,Maturity,71.0,90.8,Add fertilizer,8.58
IMG_000065,2021-01-01,G016,P000065,Wheat,South,Clay,26.07,31.7,57.0,39482.9,NPK,5.1,81.6,2.42,35.7,3.3,No,No,Vegetative,81.3,46.5,No action,6.25
IMG_000066,2021-10-07,G016,P000066,Soybean,North,Loamy,20.8,25.8,49.3,21830.4,Compost,8.8,56.7,1.97,76.9,4.6,No,Yes,Flowering,82.0,86.3,Weed control,4.85
IMG_000067,2021-03-09,G009,P000067,Wheat,North,Loamy,28.99,26.7,74.7,34149.4,DAP,7.8,98.4,1.37,43.1,3.5,No,No,Vegetative,70.9,36.6,Apply pesticide,7.71
IMG_000068,2021-04-12,G019,P000068,Wheat,Central,Clay,32.94,28.5,78.8,42759.8,Urea,3.7,68.1,2.65,26.9,3.1,No,No,Flowering,67.5,60.4,No action,6.29
IMG_000069,2021-05-06,G001,P000069,Rice,South,Loamy,28.6,27.4,47.4,15571.0,Urea,5.9,77.2,0.9,27.9,4.1,No,Yes,Flowering,77.6,70.7,Add fertilizer,7.31
IMG_000070,2021-09-04,G020,P000070,Rice,North,Loamy,34.89,18.9,68.9,42009.0,NPK,9.5,139.9,2.72,69.0,3.1,No,No,Vegetative,83.4,72.9,No action,4.47
IMG_000071,2021-02-10,G017,P000071,Soybean,Central,Loamy,33.75,23.7,45.8,18525.1,Compost,6.2,132.0,1.46,77.4,3.0,No,No,Flowering,82.5,75.3,Increase irrigation,3.88
IMG_000072,2021-12-27,G005,P000072,Maize,Central,Loamy,34.12,18.9,53.1,39544.4,Compost,3.2,102.5,1.96,117.1,4.2,No,No,Flowering,68.2,62.8,Apply pesticide,5.12
IMG_000073,2021-01-22,G019,P000073,Maize,West,Clay,24.25,32.4,54.6,42659.3,NPK,7.3,42.3,1.53,115.5,3.1,No,No,Vegetative,70.7,63.0,No action,8.84
IMG_000074,2021-10-21,G013,P000074,Rice,South,Clay,34.22,34.2,77.4,29738.0,Urea,9.1,99.4,1.55,112.7,3.7,No,No,Germination,65.1,42.9,No action,8.79
IMG_000075,2021-02-18,G004,P000075,Maize,East,Loamy,15.47,25.6,64.6,38019.0,None,6.2,139.1,1.21,49.6,3.4,No,Yes,Vegetative,65.8,31.4,Apply pesticide,4.99
IMG_000076,2021-01-30,G011,P000076,Soybean,East,Loamy,32.85,27.2,65.3,41229.0,Compost,11.6,158.3,1.61,66.8,3.0,No,No,Flowering,89.4,87.7,Apply pesticide,8.76
IMG_000077,2021-08-08,G018,P000077,Maize,West,Clay,25.88,21.7,60.7,25539.4,None,4.6,92.5,1.76,33.3,3.1,No,No,Flowering,66.9,67.2,Increase irrigation,8.6
IMG_000078,2021-02-18,G004,P000078,Wheat,West,Loamy,27.4,24.6,60.3,24216.3,NPK,10.2,128.0,1.96,64.4,4.0,No,No,Maturity,72.8,36.1,Apply pesticide,6.53
IMG_000079,2021-09-28,G004,P000079,Soybean,West,Loamy,26.89,25.4,65.3,29492.2,Urea,10.9,153.1,1.56,109.4,4.6,No,No,Flowering,85.9,48.8,Apply pesticide,8.65
IMG_000080,2021-07-27,G019,P000080,Rice,West,Loamy,28.89,22.1,65.4,31090.0,Urea,6.6,161.8,1.56,32.0,3.9,No,No,Flowering,93.3,54.2,Apply pesticide,6.33
IMG_000081,2021-05-26,G007,P000081,Wheat,Central,Sandy,31.65,18.3,49.6,35700.1,None,9.6,55.4,2.55,114.7,3.4,No,No,Vegetative,88.9,80.9,Apply pesticide,6.3
IMG_000082,2021-02-28,G001,P000082,Maize,West,Sandy,18.4,19.6,48.9,29314.0,None,11.4,87.7,2.31,60.0,3.2,No,No,Vegetative,69.4,30.9,Weed control,8.01
IMG_000083,2021-05-19,G006,P000083,Wheat,East,Sandy,30.4,22.8,69.5,30229.3,DAP,3.9,110.2,1.71,96.1,2.1,No,No,Fruiting,81.8,57.8,Add fertilizer,4.86
IMG_000084,2021-05-16,G012,P000084,Soybean,North,Clay,30.34,21.9,68.8,28346.0,NPK,10.2,56.5,2.22,118.0,4.8,No,Yes,Vegetative,71.4,51.8,Apply pesticide,3.11
IMG_000085,2021-03-02,G020,P000085,Wheat,Central,Clay,23.22,32.4,52.7,42953.3,NPK,4.1,147.0,1.05,115.1,4.4,No,No,Flowering,68.9,80.5,Add fertilizer,3.57
IMG_000086,2021-02-08,G009,P000086,Wheat,South,Loamy,17.76,30.3,54.6,27368.4,Compost,4.5,115.7,1.71,123.8,4.7,No,No,Vegetative,93.3,87.4,No action,5.98
IMG_000087,2021-06-28,G019,P000087,Rice,East,Clay,19.65,18.1,45.3,37283.0,NPK,3.6,144.7,1.37,52.7,3.0,No,Yes,Germination,69.8,78.5,Increase irrigation,3.8
IMG_000088,2021-12-01,G001,P000088,Rice,North,Clay,21.34,30.0,43.0,34011.9,NPK,11.3,89.5,1.01,63.1,3.0,Yes,Yes,Maturity,56.0,64.1,Add fertilizer,6.51
IMG_000089,2021-08-04,G006,P000089,Soybean,East,Clay,28.72,18.1,67.8,30154.4,DAP,5.3,105.2,1.39,45.1,4.8,No,No,Fruiting,79.6,42.5,No action,7.74
IMG_000090,2021-05-16,G011,P000090,Wheat,South,Clay,19.43,22.7,42.8,19459.6,Urea,7.3,123.6,1.02,68.0,2.7,No,No,Flowering,69.4,48.5,Weed control,7.91
IMG_000091,2021-12-31,G015,P000091,Soybean,West,Clay,34.48,18.9,77.7,38172.4,Compost,7.2,100.3,1.82,125.2,3.5,No,No,Germination,79.4,71.1,Weed control,8.54
IMG_000092,2021-09-17,G002,P000092,Soybean,Central,Sandy,22.33,21.6,45.6,28422.0,Compost,7.2,99.5,1.14,109.7,3.6,No,No,Vegetative,79.6,52.4,Weed control,3.05
IMG_000093,2021-10-01,G006,P000093,Maize,East,Loamy,16.83,31.9,49.4,39095.2,Compost,3.3,108.0,2.61,103.2,2.5,No,No,Fruiting,81.5,32.4,Add fertilizer,8.34
IMG_000094,2021-06-13,G017,P000094,Wheat,North,Sandy,22.97,19.5,45.0,26097.1,Urea,11.8,126.8,1.13,53.9,3.0,No,No,Flowering,90.4,40.2,Apply pesticide,4.24
IMG_000095,2021-12-24,G006,P000095,Soybean,West,Loamy,25.71,28.4,72.0,17279.2,None,4.4,82.6,1.87,57.1,4.7,No,No,Vegetative,92.3,90.7,No action,5.43
IMG_000096,2021-07-13,G017,P000096,Wheat,East,Loamy,16.04,23.6,69.1,20437.8,Compost,3.4,45.8,1.22,103.7,3.6,No,No,Flowering,90.0,84.1,No action,8.22
IMG_000097,2021-10-31,G002,P000097,Wheat,East,Clay,25.96,23.9,54.2,28261.8,NPK,5.5,125.2,2.6,33.5,4.4,No,No,Vegetative,74.6,79.7,Add fertilizer,7.43
IMG_000098,2021-07-08,G016,P000098,Rice,South,Clay,28.42,32.7,75.5,26357.0,None,4.6,140.0,1.46,34.8,2.1,No,No,Fruiting,82.4,40.3,No action,6.49
IMG_000099,2021-03-08,G010,P000099,Rice,South,Loamy,16.42,34.3,55.5,22437.9,Urea,9.9,53.9,1.09,55.7,2.7,No,No,Germination,83.3,71.5,Apply pesticide,4.27
IMG_000100,2021-01-06,G008,P000100,Rice,West,Clay,31.78,18.5,47.2,39552.3,Urea,5.4,56.7,2.09,26.7,3.5,No,No,Flowering,85.5,84.3,No action,4.17
IMG_000101,2021-01-31,G017,P000101,Wheat,North,Loamy,22.28,28.7,42.8,41114.7,DAP,7.0,55.4,1.42,73.0,2.1,No,No,Vegetative,78.7,92.4,Add fertilizer,4.32
IMG_000102,2021-08-27,G020,P000102,Soybean,North,Clay,31.17,15.3,72.8,36907.1,Urea,3.0,72.3,1.83,41.1,4.4,No,No,Vegetative,66.9,47.4,Increase irrigation,5.38
IMG_000103,2021-12-30,G001,P000103,Wheat,Central,Loamy,31.89,33.0,53.8,41590.9,Urea,9.4,150.8,2.24,39.0,3.3,No,No,Fruiting,78.6,51.5,Increase irrigation,5.41
IMG_000104,2021-10-23,G002,P000104,Maize,Central,Clay,26.01,24.6,78.6,20259.5,None,9.0,109.3,0.9,97.4,2.2,No,No,Maturity,76.3,75.8,No action,3.11
IMG_000105,2021-09-28,G003,P000105,Rice,West,Clay,24.71,19.9,57.9,35121.1,Urea,10.8,166.6,0.84,119.8,2.3,No,No,Fruiting,75.6,30.4,No action,7.24
IMG_000106,2021-01-09,G003,P000106,Soybean,North,Silty,20.69,26.2,70.0,26559.8,DAP,11.9,84.6,2.24,72.9,3.7,No,No,Vegetative,66.9,52.1,Add fertilizer,4.73
IMG_000107,2021-07-31,G004,P000107,Soybean,South,Silty,33.92,29.4,59.1,34753.4,Urea,11.2,104.5,0.9,64.1,2.2,No,No,Fruiting,93.7,66.9,Apply pesticide,3.36
IMG_000108,2021-10-19,G003,P000108,Soybean,North,Sandy,22.56,23.6,65.6,39936.0,Urea,8.6,41.2,1.37,40.8,3.4,No,No,Vegetative,68.2,74.5,Apply pesticide,5.99
IMG_000109,2021-10-13,G008,P000109,Maize,West,Sandy,23.75,19.6,41.7,28742.8,Urea,7.3,96.8,1.19,69.0,2.5,No,No,Maturity,84.9,49.8,Increase irrigation,6.58
IMG_000110,2021-07-02,G010,P000110,Wheat,East,Loamy,20.45,21.7,57.6,23505.1,NPK,6.9,56.8,1.23,28.9,4.0,No,No,Flowering,93.8,31.7,Apply pesticide,7.14
IMG_000111,2021-09-15,G002,P000111,Wheat,West,Clay,30.72,31.4,41.4,41895.2,Compost,9.6,131.7,1.66,102.3,3.4,No,No,Flowering,78.3,61.9,No action,6.06
IMG_000112,2021-02-28,G012,P000112,Wheat,North,Clay,17.18,22.8,78.8,18224.6,Urea,6.0,144.5,1.31,114.2,2.6,No,No,Fruiting,65.6,90.9,Weed control,3.92
IMG_000113,2021-12-28,G009,P000113,Wheat,North,Sandy,26.04,23.9,58.6,39631.1,NPK,8.5,76.3,2.24,118.8,2.9,No,Yes,Maturity,72.7,32.6,Apply pesticide,4.51
IMG_000114,2021-11-03,G003,P000114,Soybean,South,Sandy,19.33,32.2,78.2,39897.1,Urea,8.3,87.1,1.33,98.8,2.6,No,Yes,Flowering,89.7,65.3,Increase irrigation,3.97
IMG_000115,2021-09-10,G005,P000115,Wheat,North,Silty,25.72,26.3,44.6,34807.4,NPK,4.4,127.0,1.62,125.7,3.4,No,No,Flowering,73.3,42.3,Weed control,7.36
IMG_000116,2021-04-24,G014,P000116,Rice,South,Sandy,21.98,33.1,41.6,38073.8,Urea,3.9,92.3,1.02,115.3,2.8,Yes,No,Vegetative,66.5,34.6,Increase irrigation,4.84
IMG_000117,2021-05-10,G017,P000117,Rice,East,Silty,23.05,30.1,70.3,16099.8,Compost,6.8,158.5,1.09,79.2,2.6,No,No,Maturity,91.9,39.8,No action,6.44
IMG_000118,2021-12-16,G009,P000118,Soybean,East,Sandy,21.09,30.5,77.0,38085.2,NPK,6.0,92.9,2.07,86.7,4.5,No,No,Vegetative,86.6,91.7,Increase irrigation,6.62
IMG_000119,2021-06-13,G009,P000119,Wheat,South,Sandy,31.84,33.3,40.6,33249.0,DAP,8.6,111.4,2.77,102.0,3.5,No,No,Vegetative,71.6,85.9,No action,6.73
IMG_000120,2021-07-04,G004,P000120,Soybean,South,Sandy,33.59,23.2,68.9,38759.8,DAP,6.7,68.2,2.05,57.2,2.6,No,No,Vegetative,92.5,93.7,Weed control,4.49
IMG_000121,2021-06-18,G012,P000121,Maize,East,Silty,21.14,27.1,70.9,36386.5,Urea,8.6,90.3,1.6,97.0,3.9,No,Yes,Vegetative,77.2,43.1,Add fertilizer,3.03
IMG_000122,2021-09-29,G002,P000122,Maize,South,Silty,25.49,25.5,61.2,38479.4,NPK,6.8,66.4,1.72,34.2,3.2,No,No,Flowering,93.9,73.1,No action,6.74
IMG_000123,2021-02-16,G011,P000123,Maize,Central,Loamy,15.6,26.8,61.7,35808.0,Compost,11.1,130.7,1.14,25.9,2.5,Yes,No,Vegetative,58.1,74.3,Apply pesticide,6.22
IMG_000124,2021-03-23,G005,P000124,Wheat,East,Loamy,16.44,29.4,43.9,40979.4,NPK,9.9,98.7,1.94,74.9,4.0,No,No,Vegetative,81.5,37.1,Apply pesticide,7.52
IMG_000125,2021-12-06,G020,P000125,Rice,East,Loamy,24.77,28.2,48.2,35478.8,NPK,6.3,153.7,1.78,34.1,3.1,No,No,Maturity,86.8,55.8,Add fertilizer,4.77
IMG_000126,2021-08-31,G008,P000126,Rice,Central,Clay,17.03,20.0,51.4,38114.9,Urea,3.1,59.1,2.12,119.7,4.0,No,No,Vegetative,71.0,51.5,Weed control,5.25
IMG_000127,2021-05-03,G008,P000127,Wheat,North,Sandy,17.84,27.1,52.2,38835.4,NPK,9.6,58.1,1.85,95.9,2.2,No,No,Vegetative,82.1,51.6,Weed control,8.72
IMG_000128,2021-04-12,G018,P000128,Maize,West,Loamy,16.78,28.5,75.3,30564.7,Urea,5.5,89.4,1.6,127.5,4.3,No,No,Vegetative,90.1,75.0,Weed control,6.36
IMG_000129,2021-11-19,G016,P000129,Soybean,East,Loamy,30.8,21.3,50.0,36723.3,NPK,9.8,59.9,1.92,93.4,3.2,Yes,No,Maturity,60.0,49.3,Increase irrigation,4.77
IMG_000130,2021-04-26,G007,P000130,Rice,West,Sandy,23.92,27.5,68.2,23054.9,NPK,7.7,89.9,2.76,73.2,2.2,No,No,Fruiting,90.1,84.3,Add fertilizer,7.91
IMG_000131,2021-08-30,G013,P000131,Rice,East,Clay,24.89,23.5,68.9,36569.4,DAP,5.2,116.8,2.37,77.2,2.9,Yes,No,Maturity,65.5,67.9,Increase irrigation,6.81
IMG_000132,2021-10-09,G011,P000132,Wheat,Central,Loamy,15.34,18.3,44.5,29020.3,NPK,5.2,164.2,1.86,70.2,4.1,No,No,Fruiting,90.7,70.6,Add fertilizer,5.76
IMG_000133,2021-10-27,G014,P000133,Soybean,North,Clay,22.4,17.5,78.3,29372.7,Urea,3.8,100.7,1.4,106.4,4.6,No,Yes,Vegetative,68.3,54.8,Weed control,8.53
IMG_000134,2021-02-23,G014,P000134,Soybean,South,Clay,15.43,22.3,51.2,42332.8,Compost,4.1,81.2,0.82,106.2,3.4,No,Yes,Vegetative,91.1,82.4,Increase irrigation,3.33
